provider_id,parent_account_id,provider_sales_id,vendor_name,country_code,business_segment_v2,provider_name,city_name,account_management_segment,gmv_eur,orders_n,provider_cm_l2_pct_gmv,country_cm_l2_pct_gmv,cm_l2_pp_above_country
93197,63940,100005008198,Big Tasty,ua,SMB (AM Segment),Big Tasty,Vinnytsia,Missing AM Segment Trait,1588.0666809082031,180.0,9.263676740494006,2.3596736654725854,6.9040030750214205
89960,61479,82369710029,XA,ua,SMB (AM Segment),Харків.pizzA,Dnipro,Missing AM Segment Trait,1587.9594192504883,100.0,12.145406900397731,2.3596736654725854,9.785733234925146
101555,70775,50005565284,КОЙОТ BRAND Chernivtsi,ua,SMB (AM Segment),Койот,Chernivtsi,Missing AM Segment Trait,1584.967300415039,108.0,10.597797825384193,2.3596736654725854,8.238124159911607
107837,76145,50005539282,CITY RESTOBAR Zhytomyr,ua,SMB (AM Segment),City Restobar,Zhytomyr,Missing AM Segment Trait,1578.9101257324219,91.0,5.229919612142992,2.3596736654725854,2.8702459466704067
144741,35547,50006361544,Whai Thai,ua,SMB (AM Segment),Whai Thai Поділ,Kyiv,Missing AM Segment Trait,1574.660530090332,75.0,15.285413830413258,2.3596736654725854,12.925740164940674
103510,60731,1000050126451,Піца 54,ua,SMB (AM Segment),Pizza 54 вул. С. Петлюри,Kyiv,Missing AM Segment Trait,1573.5924911499023,80.0,10.98147840005849,2.3596736654725854,8.621804734585904
19816,8113,7697646,ITALIST PROSECCO BAR,ua,SMB (AM Segment),Italist Pizza & Pasta,Kyiv,Gold (AM Segment),1571.4675827026367,79.0,8.23921270811569,2.3596736654725854,5.879539042643105
165182,123401,100005049104,SOVASH Dnipro,ua,SMB (AM Segment),Sovash,Dnipro,Missing AM Segment Trait,1566.5446166992188,132.0,5.189396339999502,2.3596736654725854,2.8297226745269164
190360,141908,50006728892,VYNO I VYSA KI Kyiv,ua,SMB (AM Segment),Вино і Вуса,Kyiv,Missing AM Segment Trait,1561.864730834961,49.0,5.877230247577123,2.3596736654725854,3.517556582104538
105729,55720,50005643058,BeerLand,ua,SMB (AM Segment),BeerLand ЖК Файна Таун,Kyiv,Missing AM Segment Trait,1561.405014038086,69.0,8.938108136748058,2.3596736654725854,6.5784344712754725
92526,63441,77076700007,NiKo,ua,SMB (AM Segment),NiKo,Kyiv,Missing AM Segment Trait,1556.6203231811523,72.0,18.140558084148868,2.3596736654725854,15.780884418676283
126487,85903,50006102431,SKYFOOD Kharkiv,ua,SMB (AM Segment),"Sky Food просп. Ювілейний, 52/1",Kharkiv,Missing AM Segment Trait,1556.1199264526367,97.0,15.961749681197029,2.3596736654725854,13.602076015724442
32434,22792,5187068,TheM'ясо,ua,SMB (AM Segment),TheМ'ясо,Lviv,Silver (AM Segment),1555.4652404785156,90.0,18.787958618769643,2.3596736654725854,16.42828495329706
152202,113351,100005042420,"Гастрокафе ""Тарілка""",ua,SMB (AM Segment),"Гастрокафе ""Тарілка""",Kyiv,Missing AM Segment Trait,1554.972999572754,52.0,24.753670294362017,2.3596736654725854,22.393996628889433
97663,65279,82370190029,Шашлична 0085,ua,SMB (AM Segment),Шашлична 0085,Dnipro,Missing AM Segment Trait,1543.3457641601562,70.0,20.980693448637965,2.3596736654725854,18.62101978316538
127526,93007,50006113123,MIMINO Zhytomyr,ua,SMB (AM Segment),Міміно,Zhytomyr,Missing AM Segment Trait,1534.938461303711,79.0,2.927988476234706,2.3596736654725854,0.5683148107621205
98102,67874,61860790103,Хата Багата,ua,SMB (AM Segment),Хата Багата,Ivano-Frankivsk,Missing AM Segment Trait,1534.45947265625,89.0,18.898326282913715,2.3596736654725854,16.53865261744113
65801,44347,8286315,VINNYTSIA FOOD MARKET,ua,SMB (AM Segment),VINNYTSIA FOOD MARKET,Vinnytsia,Silver (AM Segment),1525.1933212280273,77.0,18.610047524903177,2.3596736654725854,16.250373859430592
141198,104433,50006136168,SEVEN Lviv,ua,SMB (AM Segment),Seven,Lviv,Missing AM Segment Trait,1525.1314315795898,84.0,9.705750804492842,2.3596736654725854,7.346077139020257
13175,9561,7699730,La Frusta,ua,SMB (AM Segment),La Frusta,Kyiv,Bronze (AM Segment),1524.7145919799805,70.0,11.027752077333849,2.3596736654725854,8.668078411861263
50886,35103,51860220106,DONER KING,ua,SMB (AM Segment),DONER KING,Vinnytsia,Silver (AM Segment),1514.5841064453125,158.0,6.061046681050605,2.3596736654725854,3.70137301557802
132233,97040,50006171847,MANGA SUSHI KYIV Kyiv,ua,SMB (AM Segment),Manga Sushi,Kyiv,Missing AM Segment Trait,1507.759536743164,46.0,15.208131463268185,2.3596736654725854,12.8484577977956
52558,7439,77048350007,Paul,ua,SMB (AM Segment),PAUL Велика Васильківська,Kyiv,Silver (AM Segment),1500.9279022216797,68.0,10.630575310615907,2.3596736654725854,8.270901645143322
137871,101791,50005460169,SENTA SUSHI Chernivtsi,ua,SMB (AM Segment),Senta Sushi,Chernivtsi,Missing AM Segment Trait,1497.3197631835938,3.0,3.878420981366159,2.3596736654725854,1.5187473158935738
185944,138540,50006709184,7STRAV KYIV Kyiv,ua,SMB (AM Segment),7Страв,Kyiv,Missing AM Segment Trait,1491.6354751586914,78.0,13.653651487101957,2.3596736654725854,11.293977821629372
65280,44029,5186688,Hokkaido Sushi,ua,SMB (AM Segment),Hokkaido Sushi / Хоккайдо Суші,Lviv,Bronze (AM Segment),1491.0235061645508,71.0,16.29727125318679,2.3596736654725854,13.937597587714205
153355,114391,100005043050,VibeFOOD,ua,SMB (AM Segment),VibeFOOD,Kharkiv,Missing AM Segment Trait,1488.2943496704102,79.0,7.018001606925858,2.3596736654725854,4.658327941453273
128566,93914,100005029916,Trap,ua,SMB (AM Segment),Trap,Lviv,Missing AM Segment Trait,1484.4671630859375,95.0,16.48704737082525,2.3596736654725854,14.127373705352664
38937,27014,51861100042,ШОПиво,ua,SMB (AM Segment),ШОПиво,Lviv,Silver (AM Segment),1480.1190185546875,109.0,14.51145811340451,2.3596736654725854,12.151784447931924
52823,36329,77040870007,AYO pizza | burger | kebab,ua,SMB (AM Segment),PLOVYAN,Kyiv,Silver (AM Segment),1473.2609100341797,100.0,13.734459195079125,2.3596736654725854,11.374785529606541
170698,127542,100005051741,Вінницьке живе пиво,ua,SMB (AM Segment),Вінницьке живе пиво на Шевченка,Vinnytsia,Missing AM Segment Trait,1466.9397430419922,160.0,13.596552921365234,2.3596736654725854,11.23687925589265
131446,96392,100005031637,Рамен Карпатський,ua,SMB (AM Segment),RAMEN KARPATSKYI / РАМЕН КАРПАТСЬКИЙ,Ivano-Frankivsk,Missing AM Segment Trait,1464.8648986816406,100.0,14.303674415179797,2.3596736654725854,11.944000749707211
80852,54321,100005001778,Юнітас ,ua,SMB (AM Segment),Юнітас,Lviv,Missing AM Segment Trait,1463.4281768798828,65.0,7.0650485552814795,2.3596736654725854,4.705374889808894
126038,91692,100005028183,Ресторан І Будуть Люди,ua,SMB (AM Segment),Ресторан І Будуть Люди,Kyiv,Missing AM Segment Trait,1459.624755859375,64.0,14.456250981099661,2.3596736654725854,12.096577315627076
